,volume,bid,ask,avg_bid,avg_ask,last_trade,avg_volume,volume_trigger,spread,avg_spread,max_spread,delta_spread,min_tolerance_band,max_tolerance_band,spread_trigger,bid_ask_trigger,trigger_sum,order
0,55958.0,129.45,129.63,129.025,129.301,129.51,9198.638461538461,1,0.18000000000000682,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,0,1,2,WAIT
1,7035.0,128.56,128.66,129.052,129.241,128.9,9198.638461538461,0,0.09999999999999432,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,0,-1,-1,WAIT
2,9838.0,128.43,128.76,128.408,128.576,128.69,9198.638461538461,0,0.3299999999999841,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,-1,1,0,WAIT
3,9377.0,128.21,128.35,128.592,128.733,128.22,9198.638461538461,0,0.13999999999998636,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,0,-1,-1,WAIT
4,5278.0,128.37,128.52,128.207,128.38,128.48,9198.638461538461,0,0.15000000000000568,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,0,1,1,WAIT
5,6898.0,128.94,129.2,128.428,128.579,128.88,9198.638461538461,0,0.2599999999999909,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,0,1,1,WAIT
6,9272.0,128.11,128.19,128.488,128.67,128.16,9198.638461538461,0,0.07999999999998408,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,1,-1,0,WAIT
7,5307.0,128.3,128.39,128.255,128.369,128.34,9198.638461538461,0,0.08999999999997499,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,1,0,1,WAIT
8,12687.0,128.17,128.25,128.202,128.292,128.23,9198.638461538461,0,0.0800000000000125,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,1,0,1,WAIT
9,8689.0,127.29,127.34,127.868,127.958,127.34,9198.638461538461,0,0.04999999999999716,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,1,-1,0,WAIT
10,13475.0,127.44,127.55,127.055,127.163,127.38,9198.638461538461,0,0.10999999999999943,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,0,1,1,WAIT
11,7361.0,127.37,127.48,127.23,127.349,127.44,9198.638461538461,0,0.10999999999999943,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,0,1,1,WAIT
12,4614.0,127.16,127.2,127.411,127.503,127.16,9198.638461538461,0,0.04000000000000625,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,1,-1,0,WAIT
13,6393.0,127.08,127.16,127.321,127.399,127.21,9198.638461538461,0,0.0799999999999983,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,1,-1,0,WAIT
14,7100.0,127.03,127.1,126.938,127.015,127.05,9198.638461538461,0,0.06999999999999318,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,1,1,2,WAIT
15,7942.0,127.4,127.49,127.188,127.261,127.33,9198.638461538461,0,0.0899999999999892,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,1,1,2,WAIT
16,7028.0,127.16,127.27,127.287,127.351,127.19,9198.638461538461,0,0.10999999999999943,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,0,-1,-1,WAIT
17,6352.0,127.28,127.42,127.217,127.277,127.3,9198.638461538461,0,0.14000000000000057,0.08955555555555558,0.45999999999999375,0.18522222222221907,0.09566666666666349,0.2747777777777747,0,1,1,WAIT
