,volume,bid,ask,avg_bid,avg_ask,last_trade,avg_volume,volume_trigger,spread,avg_spread,max_spread,delta_spread,min_tolerance_band,max_tolerance_band,spread_trigger,bid_ask_trigger,trigger_sum,order
0,119.0,33893.0,33901.0,33877.3,33877.3,33898.0,2515.823703703704,-1,8.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
1,67.0,33801.0,33808.0,33868.7,33868.7,33806.0,2515.823703703704,-1,7.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,-1,-1,WAIT
2,109.0,33821.0,33828.0,33804.3,33804.3,33821.0,2515.823703703704,-1,7.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
3,136.0,33893.0,33901.0,33868.6,33868.6,33889.0,2515.823703703704,-1,8.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
4,486.0,33912.0,33915.0,33895.0,33895.0,33914.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
5,386.0,34017.0,34019.0,33936.7,33936.7,34019.0,2515.823703703704,-1,2.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
6,309.0,33908.0,33915.0,33978.0,33978.0,33908.0,2515.823703703704,-1,7.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,-1,-1,WAIT
7,99.0,33972.0,33980.0,33942.3,33942.3,33974.0,2515.823703703704,-1,8.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
8,164.0,34011.0,34014.0,34003.0,34003.0,34013.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
9,225.0,33970.0,33973.0,34009.1,34009.1,33970.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,-1,-1,WAIT
10,175.0,33922.0,33926.0,33937.1,33937.1,33918.0,2515.823703703704,-1,4.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,-1,-1,WAIT
11,146.0,33806.0,33813.0,33839.0,33839.0,33810.0,2515.823703703704,-1,7.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,-1,-1,WAIT
12,69.0,33815.0,33818.0,33809.3,33809.3,33828.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
13,131.0,33847.0,33851.0,33845.4,33845.4,33850.0,2515.823703703704,-1,4.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
14,188.0,33872.0,33875.0,33841.8,33841.8,33871.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
15,159.0,33874.0,33877.0,33859.7,33859.7,33873.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
16,155.0,33883.0,33887.0,33886.7,33886.7,33887.0,2515.823703703704,-1,4.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
17,146.0,33862.0,33865.0,33878.9,33878.9,33863.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,-1,-1,WAIT
18,62.0,33868.0,33871.0,33860.3,33860.3,33869.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
19,108.0,33918.0,33924.0,33906.0,33906.0,33922.0,2515.823703703704,-1,6.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
20,39.0,33902.0,33908.0,33914.0,33914.0,33907.0,2515.823703703704,-1,6.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,-1,-1,WAIT
21,121.0,33906.0,33909.0,33899.0,33899.0,33906.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
22,139.0,33959.0,33961.0,33928.5,33928.5,33960.0,2515.823703703704,-1,2.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
23,65.0,33931.0,33933.0,33931.1,33931.1,33934.0,2515.823703703704,-1,2.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
24,118.0,33902.0,33904.0,33917.6,33917.6,33904.0,2515.823703703704,-1,2.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,-1,-1,WAIT
25,50.0,33916.0,33918.0,33914.3,33914.3,33917.0,2515.823703703704,-1,2.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
26,79.0,33851.0,33854.0,33873.9,33873.9,33856.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,-1,-1,WAIT
27,98.0,33820.0,33823.0,33823.4,33823.4,33825.0,2515.823703703704,-1,3.0,1.977037037037037,78.0,38.01148148148148,36.034444444444446,39.98851851851852,1,1,1,WAIT
