,volume,bid,ask,avg_bid,avg_ask,last_trade,avg_volume,volume_trigger,spread,avg_spread,max_spread,delta_spread,min_tolerance_band,max_tolerance_band,spread_trigger,bid_ask_trigger,trigger_sum,order
0,200.0,273.51,295.34,295.34,295.34,291.89,260.90909090909093,0,21.829999999999984,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,-1,-1,-2,WAIT
1,500.0,273.51,295.34,295.34,295.34,293.18,260.90909090909093,1,21.829999999999984,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,-1,-1,-1,WAIT
2,424.0,273.51,295.34,273.51,295.34,291.28,260.90909090909093,1,21.829999999999984,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,-1,0,0,WAIT
3,152.0,286.06,295.34,273.51,295.34,290.92,260.90909090909093,0,9.279999999999973,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,0,1,WAIT
4,200.0,293.06,295.34,273.51,295.34,290.02,260.90909090909093,0,2.2799999999999727,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,0,1,WAIT
5,100.0,291.25,291.49,273.702,295.251,289.96,260.90909090909093,-1,0.2400000000000091,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,0,0,WAIT
6,0.0,291.45,293.71,291.286,292.464,289.96,260.90909090909093,-1,2.259999999999991,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
7,300.0,290.32,291.85,292.687,293.396,289.59,260.90909090909093,0,1.5300000000000296,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,0,WAIT
8,100.0,289.83,292.01,291.237,291.972,290.01,260.90909090909093,-1,2.180000000000007,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
9,200.0,291.45,290.94,291.118,291.883,288.51,260.90909090909093,0,-0.5099999999999909,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,0,WAIT
10,948.0,289.98,290.21,289.982,290.643,286.41,260.90909090909093,1,0.22999999999996135,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,1,WAIT
11,200.0,289.69,292.55,290.296,291.012,285.8,260.90909090909093,0,2.8600000000000136,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,0,WAIT
12,0.0,289.25,290.67,291.025,291.745,285.8,260.90909090909093,-1,1.420000000000016,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
13,500.0,287.96,290.05,289.834,290.482,286.05,260.90909090909093,1,2.090000000000032,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,1,WAIT
14,0.0,286.39,290.44,289.585,290.226,286.05,260.90909090909093,-1,4.050000000000011,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
15,0.0,285.82,288.58,289.121,289.671,286.05,260.90909090909093,-1,2.759999999999991,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
16,100.0,285.57,287.03,286.311,287.002,286.77,260.90909090909093,-1,1.4599999999999795,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,0,0,WAIT
17,0.0,285.95,286.24,285.683,286.175,286.77,260.90909090909093,-1,0.29000000000002046,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,1,1,WAIT
18,200.0,285.63,286.26,285.959,286.51,286.72,260.90909090909093,0,0.6299999999999955,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,1,2,WAIT
19,100.0,286.09,286.28,285.844,286.256,286.39,260.90909090909093,-1,0.18999999999999773,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,1,1,WAIT
20,0.0,286.08,286.69,285.571,286.203,286.39,260.90909090909093,-1,0.6100000000000136,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,1,1,WAIT
21,0.0,285.92,286.73,285.899,286.535,286.39,260.90909090909093,-1,0.8100000000000023,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,0,0,WAIT
22,100.0,286.31,287.12,286.493,287.169,285.04,260.90909090909093,-1,0.8100000000000023,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
23,100.0,285.9,286.2,285.972,286.592,285.14,260.90909090909093,-1,0.30000000000001137,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
24,100.0,285.2,287.01,286.307,287.043,285.07,260.90909090909093,-1,1.8100000000000023,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
25,100.0,284.85,286.19,285.929,286.44,284.82,260.90909090909093,-1,1.339999999999975,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
26,100.0,284.92,285.82,285.323,285.948,283.51,260.90909090909093,-1,0.8999999999999773,2.360996955859969,39.39999999999998,18.519501522070005,16.158504566210034,20.880498477929976,1,-1,-1,WAIT
